nr,sepal_length,sepal_width,petal_length,petal_width,species
// 序号，花瓣长，花瓣宽，花萼长，花萼宽，类别
1,4.9,3,1.4,0.2,setosa
2,4.7,3.2,,0.2,setosa
3,4.6,3.1,1.5,0.2,setosa
4,5,3.6,1.4,0.2,setosa
5,5.4,3.9,1.7,0.4,setosa
6,4.6,3.4,1.4,0.3,setosa
7,5,3.4,1.5,0.2,setosa
8,4.4,,1.4,0.2,setosa
9,4.9,3.1,1.5,0.1,setosa
10,5.4,3.7,1.5,0.2,setosa
11,4.8,3.4,1.6,0.2,setosa
12,4.8,3,1.4,0.1,setosa
13,4.3,3,1.1,0.1,setosa
14,5.8,4,1.2,0.2,setosa
15,5.7,4.4,1.5,0.4,setosa
16,5.4,3.9,1.3,0.4,setosa
17,5.1,3.5,1.4,0.3,setosa
18,4.6,3.4,1.4,0.3,setosa
19,5,3.4,1.5,0.2,setosa
20,4.4,2.9,1.4,0.2,setosa
21,4.9,3.1,1.5,0.1,setosa
22,5.4,3.7,1.5,0.2,setosa
23,5.7,3.8,1.7,0.3,setosa
24,5.1,3.8,1.5,0.3,setosa
25,5.4,3.4,1.7,0.2,setosa
26,5.1,3.7,1.5,0.4,setosa
27,4.6,3.6,1,0.2,setosa
28,5.1,3.3,1.7,0.5,setosa
29,4.8,3.4,1.9,0.2,setosa
30,5,3,1.6,0.2,setosa
31,5,3.4,1.6,0.4,setosa
32,5.2,3.5,1.5,0.2,setosa
33,5.2,3.4,1.4,0.2,setosa
34,4.7,3.2,1.6,0.2,setosa
35,4.8,3.1,1.6,0.2,setosa
36,5.4,3.4,1.5,0.4,setosa
255,255,255,255,255,setosa
,,,,,
38,5.1,3.4,1.5,0.2,
39,,,,,
40,5.5,4.2,1.4,0.2,
41,5.2,4.1,1.5,0.1,setosa
42,5.5,4.2,1.4,0.2,setosa
43,4.9,3.1,1.5,0.2,setosa
44,5,3.2,1.2,0.2,setosa
45,5.5,3.5,1.3,0.2,setosa
46,4.9,3.6,1.4,0.1,setosa
47,4.4,3,1.3,0.2,setosa
48,5.1,3.4,1.5,0.2,setosa
49,5,3.5,1.3,0.3,setosa
50,4.5,2.3,1.3,0.3,setosa
51,4.4,3.2,1.3,0.2,setosa
52,5,3.5,1.6,0.6,setosa
53,5.1,3.8,1.9,0.4,setosa
54,4.8,3,1.4,0.3,setosa
55,7,3.2,4.7,1.4,versicolor
56,6.4,3.2,4.5,1.5,versicolor
57,6.9,3.1,4.9,1.5,versicolor
58,5.5,2.3,4,1.3,versicolor
59,6.5,2.8,4.6,1.5,versicolor
60,5.7,2.8,4.5,1.3,versicolor
61,6.3,3.3,4.7,1.6,versicolor
62,4.9,2.4,3.3,1,versicolor
63,6.6,2.9,4.6,1.3,versicolor
64,5.2,2.7,3.9,1.4,versicolor
65,5,2,3.5,1,versicolor
66,5.9,3,4.2,1.5,versicolor
67,6,2.2,4,1,versicolor
68,,2.9,4.7,1.4,versicolor
69,5.6,2.9,3.6,1.3,versicolor
70,6.7,3.1,4.4,1.4,versicolor
71,5.6,3,,1.5,versicolor
72,5.8,2.7,4.1,1,versicolor
73,6.2,2.2,4.5,1.5,versicolor
74,5.6,2.5,3.9,1.1,versicolor
75,5.9,3.2,4.8,1.8,versicolor
76,,2.8,4,1.3,versicolor
77,6.3,2.5,4.9,1.5,versicolor
78,6.1,2.8,4.7,1.2,versicolor
79,6.4,2.9,4.3,1.3,versicolor
80,6.6,3,4.4,1.4,versicolor
81,6.8,2.8,4.8,1.4,versicolor
82,6.7,3,5,1.7,versicolor
83,6,2.9,4.5,1.5,versicolor
84,5.7,2.6,3.5,1,versicolor
85,5.5,2.4,3.8,1.1,versicolor
86,5.5,2.4,3.7,1,versicolor
87,5.8,2.7,3.9,1.2,versicolor
88,6,2.7,5.1,1.6,versicolor
89,5.4,3,,1.5,versicolor
90,6,3.4,,1.6,versicolor
91,6.7,3.1,4.7,1.5,versicolor
92,6.3,2.3,,1.3,versicolor
93,5.6,3,4.1,1.3,versicolor
94,5.5,2.5,4,1.3,versicolor
95,5.5,2.6,4.4,1.2,versicolor
96,6.1,3,4.6,1.4,versicolor
97,5.8,2.6,4,1.2,versicolor
98,5,2.3,3.3,1,versicolor
99,5.6,2.7,4.2,1.3,versicolor
100,5.7,3,4.2,1.2,versicolor
101,5.7,2.9,4.2,1.3,versicolor
102,6.2,2.9,4.3,1.3,versicolor
103,5.1,2.5,3,1.1,versicolor
104,5.7,2.8,4.1,1.3,versicolor
105,6.3,3.3,6,2.5,virginica
106,5.8,2.7,5.1,1.9,virginica
107,7.1,3,5.9,2.1,virginica
108,6.3,2.9,5.6,1.8,virginica
109,6.5,3,5.8,2.2,virginica
110,7.6,3,6.6,2.1,virginica
111,4.9,2.5,4.5,1.7,virginica
112,7.3,2.9,6.3,1.8,virginica
113,6.7,2.5,5.8,1.8,virginica
114,7.2,3.6,6.1,2.5,virginica
115,6.5,3.2,5.1,2,virginica
116,6.4,2.7,5.3,1.9,virginica
117,6.8,3,5.5,2.1,virginica
118,5.7,2.5,5,2,virginica
119,5.8,2.8,5.1,2.4,virginica
120,6.4,3.2,5.3,2.3,virginica
121,6.5,3,5.5,1.8,virginica
122,7.7,3.8,6.7,2.2,virginica
123,7.7,2.6,6.9,2.3,virginica
124,6,2.2,5,1.5,virginica
125,6.9,3.2,5.7,2.3,virginica
126,5.6,2.8,4.9,2,virginica
127,7.7,2.8,6.7,2,virginica
128,6.3,2.7,4.9,1.8,virginica
129,6.7,3.3,5.7,2.1,virginica
130,7.2,3.2,6,1.8,virginica
131,6.2,2.8,4.8,1.8,virginica
132,,3,4.9,1.8,virginica
133,6.4,2.8,5.6,2.1,virginica
134,7.2,3,5.8,1.6,virginica
135,7.4,2.8,6.1,1.9,virginica
136,7.9,3.8,6.4,2,virginica
137,6.4,2.8,5.6,2.2,virginica
138,6.3,2.8,5.1,1.5,virginica
139,,2.6,5.6,1.4,virginica
140,7.7,3,6.1,2.3,virginica
141,6.3,3.4,5.6,2.4,virginica
142,6.4,3.1,5.5,1.8,virginica
143,6,3,4.8,1.8,virginica
144,6.9,3.1,5.4,2.1,virginica
145,6.7,3.1,5.6,2.4,virginica
146,6.9,3.1,5.1,2.3,virginica
147,5.8,2.7,5.1,1.9,virginica
148,6.8,3.2,5.9,2.3,virginica
149,6.7,3.3,5.7,2.5,virginica
150,6.7,3,5.2,2.3,virginica
151,6.3,2.5,5,1.9,virginica
152,6.5,3,5.2,2,virginica
153,6.2,3.4,5.4,2.3,virginica
154,5.9,3,5.1,1.8,virginica
152,6.5,3,5.2,2,virginica
153,6.2,3.4,5.4,2.3,virginica
154,5.9,3,5.1,1.8,virginica
